fan_state,window_start,window_end,timestamp_start,timestamp_end,timestamp_mean,accel_x_g_std,accel_x_g_range,accel_x_g_rms,gyro_y_dps_std,gyro_y_dps_range,gyro_y_dps_rms,collection_id
LOW,1140,1240,1770488099.2757,1770488106.0594,1770488102.7478995,0.0678146396879022,0.27980000000000005,0.3096549634674052,1.5965352987015349,7.220000000000001,1.7373612174789674,col_20260207_191320_5hz
LOW,1160,1260,1770488100.609,1770488107.3741,1770488104.1177785,0.07063809297397546,0.2832,0.3035931460030018,1.733979754783775,8.719999999999999,1.7904443582530007,col_20260207_191320_5hz
LOW,1180,1280,1770488101.9107,1770488108.7075,1770488105.4895158,0.07058384287498096,0.2832,0.30194098678384157,1.6656333900351543,8.719999999999999,1.7195199911603238,col_20260207_191320_5hz
LOW,1200,1300,1770488103.2245,1770488110.0431,1770488106.864914,0.06805302969743522,0.25870000000000004,0.2976763304329049,1.7765927473678371,8.719999999999999,1.8095714962388194,col_20260207_191320_5hz
LOW,1220,1320,1770488105.6752,1770488111.3533,1770488108.1425369,0.06764579377906656,0.25870000000000004,0.3018066165610025,1.7963352805086248,8.719999999999999,1.8145699214965514,col_20260207_191320_5hz
LOW,1240,1340,1770488106.126,1770488112.6811,1770488109.404768,0.062361479288099,0.25870000000000004,0.304160564011839,1.6053113592073036,8.719999999999999,1.6366606245645432,col_20260207_191320_5hz
LOW,1260,1360,1770488107.4408,1770488113.9892,1770488110.7290418,0.059625211940923115,0.2434,0.30464294821971505,1.4791121492300712,7.17,1.536905657481942,col_20260207_191320_5hz
LOW,1280,1380,1770488108.7741,1770488115.3225,1770488112.0520484,0.06027022667951399,0.2444,0.3087163850526888,1.4683312160408495,7.17,1.5353885501722357,col_20260207_191320_5hz
LOW,1300,1400,1770488110.1098,1770488116.6278,1770488113.3702073,0.060544002337143195,0.2444,0.31104034223875204,1.389139359459662,6.91,1.5042832180144798,col_20260207_191320_5hz
LOW,1320,1420,1770488111.4199,1770488117.9426,1770488114.687659,0.058774324079482194,0.2444,0.31333471033385374,1.395279341207344,6.800000000000001,1.505934925552894,col_20260207_191320_5hz
