id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,fan_state,collection_id,timestamp_iso,sample_rate_configured_hz,sample_rate_real_hz
60,1770047626.0193,27.3065,25.3053,0.31543,-0.0915527,-1.0835,-0.687023,-3.99237,-20.626,LOW,col_20260201_134448_1hz,2026-02-02T15:53:46.019299Z,1,1.0
61,1770047626.9805,27.3535,15.5267,0.209229,-0.0795898,-1.12134,-0.740458,-0.160305,-14.626,LOW,col_20260201_134448_1hz,2026-02-02T15:53:46.980499Z,1,1.0
62,1770047627.9545,27.3065,14.5115,0.226318,-0.0686035,-1.12451,-1.58779,4.83206,-8.0916,LOW,col_20260201_134448_1hz,2026-02-02T15:53:47.954499Z,1,1.0
63,1770047628.9528,27.3065,17.4656,0.317871,-0.00830078,-1.09009,-3.45802,5.21374,-8.79389,LOW,col_20260201_134448_1hz,2026-02-02T15:53:48.952800Z,1,1.0
64,1770047630.0134,27.4006,17.2137,0.368164,0.172852,-1.04663,-1.82443,-2.22901,-13.1603,LOW,col_20260201_134448_1hz,2026-02-02T15:53:50.013400Z,1,1.0
65,1770047631.0374,27.2124,4.44275,0.155518,0.123047,-1.09326,0.450382,-1.35115,2.64122,LOW,col_20260201_134448_1hz,2026-02-02T15:53:51.037400Z,1,1.0
66,1770047632.053,27.3065,12.0076,0.175537,0.064209,-1.12183,-2.9313,4.31298,4.76336,LOW,col_20260201_134448_1hz,2026-02-02T15:53:52.052999Z,1,1.0
67,1770047632.9733,27.3065,11.8244,0.34082,0.124268,-1.05371,-2.8855,1.41985,7.51908,LOW,col_20260201_134448_1hz,2026-02-02T15:53:52.973299Z,1,1.0
68,1770047634.0222,27.3535,17.6947,0.28418,0.110352,-1.11353,-1.54198,-2.63359,13.5191,LOW,col_20260201_134448_1hz,2026-02-02T15:53:54.022200Z,1,1.0
69,1770047634.962,27.2594,28.8473,0.246094,-0.0698242,-1.09961,1.71756,5.10687,22.0229,LOW,col_20260201_134448_1hz,2026-02-02T15:53:54.961999Z,1,1.0
70,1770047635.9655,27.3535,11.0763,0.332275,0.0107422,-1.073,-0.480916,-1.32824,9.26718,LOW,col_20260201_134448_1hz,2026-02-02T15:53:55.965500Z,1,1.0
71,1770047636.979,27.2124,23.8321,0.251953,-0.199463,-1.07178,-0.748092,5.09924,17.9847,LOW,col_20260201_134448_1hz,2026-02-02T15:53:56.979000Z,1,1.0
72,1770047637.9519,27.3065,6.61069,0.202148,-0.123047,-1.09619,0.89313,-3.15267,2.56489,LOW,col_20260201_134448_1hz,2026-02-02T15:53:57.951900Z,1,1.0
73,1770047638.9605,27.4006,8.35878,0.347656,-0.240723,-1.05103,-0.534351,5.46565,2.35878,LOW,col_20260201_134448_1hz,2026-02-02T15:53:58.960500Z,1,1.0
74,1770047639.9661,27.3065,19.3282,0.20874,-0.10791,-1.07764,0.519084,-4.54198,-14.2672,LOW,col_20260201_134448_1hz,2026-02-02T15:53:59.966099Z,1,1.0
75,1770047640.9769,27.3065,16.6183,0.217285,-0.153076,-1.11426,0.473282,4.28244,-11.8626,LOW,col_20260201_134448_1hz,2026-02-02T15:54:00.976900Z,1,1.0
76,1770047641.9989,27.3065,22.687,0.397949,-0.0473633,-1.07422,-1.51145,-0.48855,-20.687,LOW,col_20260201_134448_1hz,2026-02-02T15:54:01.998899Z,1,1.0
77,1770047642.9793,27.3065,15.5725,0.226807,0.0842285,-1.11353,-0.977099,-3.38168,-11.2137,LOW,col_20260201_134448_1hz,2026-02-02T15:54:02.979300Z,1,1.0
78,1770047643.9489,27.2124,1.54962,0.133789,0.0576172,-1.13135,-0.0305344,0.21374,-1.30534,LOW,col_20260201_134448_1hz,2026-02-02T15:54:03.948899Z,1,1.0
79,1770047644.9606,27.3065,7.12977,0.205078,0.0629883,-1.12549,-3.21374,3.66412,-0.251908,LOW,col_20260201_134448_1hz,2026-02-02T15:54:04.960599Z,1,1.0
80,1770047645.9738,27.3535,7.92366,0.312744,0.0905762,-1.05249,-2.30534,3.83969,1.77863,LOW,col_20260201_134448_1hz,2026-02-02T15:54:05.973799Z,1,1.0
81,1770047646.9538,27.3065,7.39695,0.318359,0.0703125,-1.06836,-2.75573,1.34351,3.29771,LOW,col_20260201_134448_1hz,2026-02-02T15:54:06.953799Z,1,1.0
82,1770047648.0718,27.3535,9.21374,0.387939,0.0913086,-1.01562,-1.61069,-2.9313,4.67176,LOW,col_20260201_134448_1hz,2026-02-02T15:54:08.071799Z,1,1.0
83,1770047648.9551,27.2594,20.7481,0.223145,0.0861816,-1.09863,1.33588,-0.648855,18.7634,LOW,col_20260201_134448_1hz,2026-02-02T15:54:08.955100Z,1,1.0
84,1770047650.0917,27.3535,25.0763,0.290771,-0.108643,-1.08813,-0.381679,4.22901,20.4656,LOW,col_20260201_134448_1hz,2026-02-02T15:54:10.091700Z,1,1.0
85,1770047650.9935,27.4006,12.2214,0.369873,-0.144287,-1.06616,-2.84733,-1.72519,7.64885,LOW,col_20260201_134448_1hz,2026-02-02T15:54:10.993499Z,1,1.0
86,1770047651.9966,27.2124,20.3588,0.108154,-0.19165,-1.09668,-0.358779,3.98473,16.0153,LOW,col_20260201_134448_1hz,2026-02-02T15:54:11.996599Z,1,1.0
87,1770047652.95,27.2124,7.27481,0.372314,-0.306396,-1.0481,-2.28244,-2.07634,-2.91603,LOW,col_20260201_134448_1hz,2026-02-02T15:54:12.950000Z,1,1.0
88,1770047653.9767,27.4006,2.83206,0.0751953,-0.223633,-1.13477,-1.40458,0.0992366,-1.32824,LOW,col_20260201_134448_1hz,2026-02-02T15:54:13.976700Z,1,1.0
89,1770047654.9826,27.4006,12.3435,0.164062,-0.260254,-1.0979,-0.633588,4.0687,-7.64122,LOW,col_20260201_134448_1hz,2026-02-02T15:54:14.982599Z,1,1.0
90,1770047656.0229,27.3535,14.6489,0.318604,-0.146973,-1.10522,-1.68702,2.83969,-10.1221,LOW,col_20260201_134448_1hz,2026-02-02T15:54:16.022900Z,1,1.0
91,1770047656.9711,27.3065,17.3206,0.356934,-0.0415039,-1.08008,-1.73282,1.58015,-14.0076,LOW,col_20260201_134448_1hz,2026-02-02T15:54:16.971100Z,1,1.0
92,1770047657.9628,27.3535,21.9008,0.377441,0.0314941,-1.06299,-2.10687,0.183206,-19.6107,LOW,col_20260201_134448_1hz,2026-02-02T15:54:17.962800Z,1,1.0
93,1770047658.9785,27.2594,14.0305,0.314209,0.202881,-1.10229,0.916031,-3.22137,-9.89313,LOW,col_20260201_134448_1hz,2026-02-02T15:54:18.978499Z,1,1.0
94,1770047659.9651,27.2594,4.84733,0.180664,0.157715,-1.10327,1.57252,-1.48855,1.78626,LOW,col_20260201_134448_1hz,2026-02-02T15:54:19.965100Z,1,1.0
95,1770047661.0697,27.2594,10.0611,0.125244,0.122559,-1.12085,1.61069,2.51908,5.9313,LOW,col_20260201_134448_1hz,2026-02-02T15:54:21.069700Z,1,1.0
96,1770047662.064,27.4006,20.3053,0.127686,0.0756836,-1.09863,0.251908,4.12214,15.9313,LOW,col_20260201_134448_1hz,2026-02-02T15:54:22.063999Z,1,1.0
97,1770047662.9643,27.2594,25.7634,0.312012,-0.0471191,-1.12622,-3.61832,5.0916,17.0534,LOW,col_20260201_134448_1hz,2026-02-02T15:54:22.964299Z,1,1.0
98,1770047663.9589,27.3535,17.2901,0.293457,0.03125,-1.07544,0.358779,-2.27481,14.6565,LOW,col_20260201_134448_1hz,2026-02-02T15:54:23.958899Z,1,1.0
99,1770047664.9463,27.3065,22.1298,0.326904,-0.180908,-1.06885,-1.09924,2.61069,18.4198,LOW,col_20260201_134448_1hz,2026-02-02T15:54:24.946300Z,1,1.0
100,1770047665.9536,27.2594,15.5038,0.174805,-0.118408,-1.12085,-0.923664,-0.740458,13.8397,LOW,col_20260201_134448_1hz,2026-02-02T15:54:25.953599Z,1,1.0
101,1770047666.9696,27.3535,20.1832,0.282227,-0.291748,-1.0752,-3.48855,4.91603,11.7786,LOW,col_20260201_134448_1hz,2026-02-02T15:54:26.969599Z,1,1.0
102,1770047667.9645,27.3065,12.8168,0.335938,-0.221436,-1.0791,-1.74046,-5.99237,-5.08397,LOW,col_20260201_134448_1hz,2026-02-02T15:54:27.964499Z,1,1.0
103,1770047668.9535,27.3065,11.2137,0.112061,-0.12915,-1.12158,0.19084,-1.52672,-9.49618,LOW,col_20260201_134448_1hz,2026-02-02T15:54:28.953500Z,1,1.0
104,1770047669.9523,27.4006,14.5496,0.171143,-0.0974121,-1.104,1.0,1.70992,-11.8397,LOW,col_20260201_134448_1hz,2026-02-02T15:54:29.952300Z,1,1.0
105,1770047670.9763,27.3535,11.3511,0.187988,-0.0566406,-1.08252,1.34351,3.03053,-6.9771,LOW,col_20260201_134448_1hz,2026-02-02T15:54:30.976300Z,1,1.0
106,1770047671.9574,27.3065,13.9237,0.316406,0.0336914,-1.10352,0.0687023,4.81679,-9.03817,LOW,col_20260201_134448_1hz,2026-02-02T15:54:31.957400Z,1,1.0
107,1770047672.9513,27.2124,18.9542,0.387207,0.161377,-1.03589,0.0916031,-1.77863,-17.084,LOW,col_20260201_134448_1hz,2026-02-02T15:54:32.951299Z,1,1.0
108,1770047674.0233,27.3065,7.80916,0.137939,0.0507812,-1.09253,0.725191,1.54962,5.53435,LOW,col_20260201_134448_1hz,2026-02-02T15:54:34.023299Z,1,1.0
109,1770047676.1398,27.3065,4.61069,0.374268,0.130859,-1.06226,-0.946565,0.0839695,-3.58015,LOW,col_20260201_134448_1hz,2026-02-02T15:54:36.139800Z,1,1.0
110,1770047676.439,27.2594,13.0534,0.37207,0.000732422,-1.09277,-4.99237,1.51145,6.54962,LOW,col_20260201_134448_1hz,2026-02-02T15:54:36.438999Z,1,1.0
111,1770047677.474,27.2594,16.8779,0.284424,0.078125,-1.10498,-1.20611,-2.71756,12.9542,LOW,col_20260201_134448_1hz,2026-02-02T15:54:37.473999Z,1,1.0
112,1770047678.4353,27.2594,24.2901,0.176758,-0.0285645,-1.1062,-0.687023,2.92366,20.6794,LOW,col_20260201_134448_1hz,2026-02-02T15:54:38.435300Z,1,1.0
113,1770047679.4687,27.2594,17.8015,0.37915,-0.12793,-1.09033,-2.54962,2.76336,12.4885,LOW,col_20260201_134448_1hz,2026-02-02T15:54:39.468699Z,1,1.0
114,1770047681.8907,27.3065,16.5191,0.193604,-0.095459,-1.13574,-1.14504,-0.320611,15.0534,LOW,col_20260201_134448_1hz,2026-02-02T15:54:41.890700Z,1,1.0
115,1770047682.4133,27.2594,6.8626,0.392578,-0.194336,-1.0249,-0.648855,-3.1145,-3.09924,LOW,col_20260201_134448_1hz,2026-02-02T15:54:42.413300Z,1,1.0
116,1770047683.1728,27.2594,5.61069,0.0808105,-0.170166,-1.11328,1.21374,0.80916,-3.58779,LOW,col_20260201_134448_1hz,2026-02-02T15:54:43.172800Z,1,1.0
117,1770047684.2353,27.3535,14.2061,0.325439,-0.132812,-1.08911,-1.19847,2.67939,-10.3282,LOW,col_20260201_134448_1hz,2026-02-02T15:54:44.235300Z,1,1.0
118,1770047685.1788,27.2594,23.1221,0.355469,-0.0583496,-1.04614,-1.8626,1.46565,-19.7939,LOW,col_20260201_134448_1hz,2026-02-02T15:54:45.178800Z,1,1.0
119,1770047686.1924,27.3065,23.9924,0.395508,0.012207,-1.04321,-0.51145,-1.85496,-21.626,LOW,col_20260201_134448_1hz,2026-02-02T15:54:46.192399Z,1,1.0
120,1770047687.1504,27.3535,20.8779,0.313721,0.164551,-1.08545,0.267176,-4.52672,-16.084,LOW,col_20260201_134448_1hz,2026-02-02T15:54:47.150399Z,1,1.0
121,1770047688.3042,27.4006,5.82443,0.113281,0.134033,-1.09106,1.89313,-1.48092,-2.45038,LOW,col_20260201_134448_1hz,2026-02-02T15:54:48.304199Z,1,1.0
122,1770047689.179,27.3065,5.94656,0.294922,0.111084,-1.08228,-1.39695,1.9084,-2.64122,LOW,col_20260201_134448_1hz,2026-02-02T15:54:49.178999Z,1,1.0
123,1770047690.193,27.3065,5.91603,0.26416,0.161621,-1.0708,1.07634,-3.16794,-1.67176,LOW,col_20260201_134448_1hz,2026-02-02T15:54:50.193000Z,1,1.0
124,1770047691.1858,27.2594,21.855,0.151123,0.00927734,-1.09766,0.763359,2.25954,18.8321,LOW,col_20260201_134448_1hz,2026-02-02T15:54:51.185800Z,1,1.0
125,1770047692.1998,27.3065,16.9084,0.359375,-0.034668,-1.07861,-2.48855,2.48092,11.9389,LOW,col_20260201_134448_1hz,2026-02-02T15:54:52.199800Z,1,1.0
126,1770047693.1566,27.3065,17.4885,0.291504,0.0178223,-1.10449,-1.17557,-1.48092,14.8321,LOW,col_20260201_134448_1hz,2026-02-02T15:54:53.156599Z,1,1.0
127,1770047694.1662,27.2594,25.7328,0.282471,-0.216797,-1.10791,-2.06107,3.41221,20.2595,LOW,col_20260201_134448_1hz,2026-02-02T15:54:54.166199Z,1,1.0
128,1770047695.2064,27.3535,14.7023,0.205566,-0.12793,-1.0957,-1.0229,-2.44275,11.2366,LOW,col_20260201_134448_1hz,2026-02-02T15:54:55.206399Z,1,1.0
129,1770047696.2073,27.3065,22.8397,0.194092,-0.258545,-1.07715,-3.27481,5.90076,13.6641,LOW,col_20260201_134448_1hz,2026-02-02T15:54:56.207299Z,1,1.0
130,1770047697.1857,27.3535,13.4656,0.333008,-0.217529,-1.06909,-1.9542,-6.21374,-5.29771,LOW,col_20260201_134448_1hz,2026-02-02T15:54:57.185699Z,1,1.0
