fan_state,collection_id,window_start,window_end,timestamp_start,timestamp_end,timestamp_mean,accel_x_g_std,accel_x_g_range,accel_x_g_rms,accel_y_g_std,accel_y_g_range,accel_y_g_rms,accel_z_g_std,accel_z_g_range,accel_z_g_rms,gyro_x_dps_std,gyro_x_dps_range,gyro_x_dps_rms,gyro_y_dps_std,gyro_y_dps_range,gyro_y_dps_rms,gyro_z_dps_std,gyro_z_dps_range,gyro_z_dps_rms,vibration_dps_std,vibration_dps_range,vibration_dps_rms,accel_mag_g_std,accel_mag_g_range,accel_mag_g_rms
LOW_ROT_ON,col_20260222_112119_20hz,640,740,1771770123.134798,1771770128.10905,1771770125.6157682,0.08723250574757095,0.42869999999999997,0.32182687721817144,0.11226789077915378,0.481,0.1900534182802298,0.03654583992741171,0.18279999999999996,1.0871424438407324,3.2134387484437914,17.91,3.2285592762097464,3.360963903406283,17.16,3.360968907919262,12.62718012701173,41.51,17.234943283921766,11.175818510309615,36.0163,17.853937323248896,0.04310218203035228,0.22917713959454322,1.149596248210649
LOW_ROT_ON,col_20260222_112119_20hz,660,760,1771770124.154292,1771770129.103936,1771770126.6250505,0.08813730756041961,0.4182,0.3161385357718986,0.08690996773098007,0.4387,0.21185075336188916,0.033085623766222094,0.16159999999999997,1.095049935391076,2.956869051885795,15.879999999999999,3.0137762027064983,3.3668204154662003,16.89,3.366866941237803,15.436370608404037,73.92,16.205675549016767,10.406031570042636,37.019999999999996,16.8238708321896,0.03964901446434121,0.21564364983142914,1.1592923171055693
LOW_ROT_ON,col_20260222_112119_20hz,680,780,1771770125.175439,1771770130.171074,1771770127.6476789,0.08578664032936598,0.4053,0.3165181920522105,0.08093344534863198,0.4387,0.21498398731068324,0.03624884141596805,0.16189999999999993,1.0941366284884169,2.658294330957353,10.77,2.698743967107662,3.021243272230821,14.1,3.033760208058639,17.760135099429846,73.37,18.010149610705625,11.34017919381784,38.1908,18.462190612711698,0.043659288122313934,0.21564364983142914,1.1591103668331155
LOW_ROT_ON,col_20260222_112119_20hz,700,800,1771770126.125439,1771770131.09825,1771770128.643148,0.0924938573960455,0.4555,0.32953484277083656,0.10427335503857156,0.5239,0.2006066018355328,0.0403153725519187,0.18919999999999992,1.0889905108861142,2.7916911917330682,11.969999999999999,2.824203427517218,2.9509266747921745,14.1,2.9909399860244603,16.58867929764151,64.07,19.274611643299068,12.24387637452143,38.1908,19.708692197997305,0.04706813369061108,0.24600852158080144,1.1553079910136514
LOW_ROT_ON,col_20260222_112119_20hz,720,820,1771770127.15905,1771770132.1067,1771770129.6528018,0.09028910797543634,0.4555,0.3376063810119708,0.1291575937992033,0.5256,0.1749731345092726,0.04230451667375482,0.18919999999999992,1.0837889700029246,3.1174382495889157,13.68,3.1186631751441194,3.3270057950054737,17.22,3.366445900352477,14.183705835923133,45.199999999999996,20.42180222213505,12.220993895082511,38.1908,20.931055853329518,0.049420227036414334,0.27323443546239634,1.1485609247227595
LOW_ROT_ON,col_20260222_112119_20hz,740,840,1771770128.153936,1771770133.095648,1771770130.6501215,0.08676301495453002,0.45039999999999997,0.35147132685327265,0.14132522103290693,0.5483,0.14790081203292973,0.046895080808118876,0.19529999999999992,1.0777347477000079,3.3406145003576815,14.27,3.362452676246909,3.5560276869000895,17.39,3.583108845681359,13.306160340233392,45.589999999999996,21.370836015467432,11.160892102712756,37.3563,21.928462953786795,0.05281424244586213,0.27323443546239634,1.1432055502839373
LOW_ROT_ON,col_20260222_112119_20hz,760,860,1771770129.271074,1771770134.094671,1771770131.6482685,0.09170689044995474,0.45039999999999997,0.3457461161025529,0.12466461330706481,0.4875,0.1263038633613398,0.04352851750289687,0.19529999999999992,1.0718422316740464,3.500330435830309,14.57,3.518004832287756,3.474366260197678,17.39,3.484434961367481,14.240859879585923,50.989999999999995,19.922207583498373,10.838603918522487,37.4921,20.528324933946752,0.05183445144687152,0.27323443546239634,1.1332867299584868
LOW_ROT_ON,col_20260222_112119_20hz,780,880,1771770130.19825,1771770135.067599,1771770132.618302,0.10047179052350963,0.4861,0.3404595701401269,0.10008847131912844,0.4392,0.11765838559150808,0.041137316392783806,0.19529999999999992,1.0684722089039096,4.085635025305123,18.990000000000002,4.125731450300662,3.4433905616412432,17.39,3.443510998966026,15.097080624743313,60.69,16.955010734293268,9.35307734492659,34.0597,17.78628406658625,0.049319704069685305,0.27323443546239634,1.1275589012552738
LOW_ROT_ON,col_20260222_112119_20hz,800,900,1771770131.1567,1771770136.099101,1771770133.6177437,0.09645220048811742,0.47029999999999994,0.3344967421366014,0.08559460924030204,0.3533,0.11725346860541055,0.04060816297248621,0.19389999999999996,1.0693613098480794,4.363333783931732,20.14,4.528614909660569,3.5856510761645506,17.39,3.594397585131617,15.424155832978347,64.15,15.472503223460645,8.428086202561706,31.6715,16.517460736496393,0.046853017102605574,0.20813763576799071,1.1265744792955323
LOW_ROT_ON,col_20260222_112119_20hz,820,920,1771770132.145648,1771770137.087238,1771770134.6138513,0.10033438403159706,0.48250000000000004,0.34052607227641174,0.09332003973423929,0.3786,0.11518967228011372,0.04158000240500233,0.1791999999999998,1.075004435618756,4.177387887185005,20.14,4.500241771282961,3.9337573946546325,19.810000000000002,3.941859206009266,14.580778024165925,60.22,15.36747972180214,8.99682125204808,35.405,16.490906826751523,0.047596633493064075,0.20755736067462704,1.1335171825340804
