id,timestamp,temperature,vibration,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,sample_rate,fan_state,collection_id,timestamp_iso,sample_rate_configured_hz,sample_rate_real_hz,vibration_dps,accel_mag_g
144,1770488026.0977,30.2,11.4844,0.3433,-0.1958,-1.115,0.13,3.46,-10.95,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.097700Z,15.0,13.34,11.4844,1.1829697925137395
145,1770488026.1644,30.1,12.1781,0.355,-0.1299,-1.0945,-1.06,1.49,-12.04,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.164400Z,15.0,13.34,12.1781,1.1579418206455798
146,1770488026.2311,30.1,15.8431,0.3262,-0.1414,-1.1047,1.46,3.14,-15.46,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.231100Z,15.0,13.34,15.8431,1.1605009651008482
147,1770488026.2977,30.1,16.7897,0.3562,-0.1047,-1.0669,0.91,2.2,-16.62,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.297699Z,15.0,13.34,16.7897,1.1296531060462764
148,1770488026.3644,30.1,20.6094,0.3684,-0.104,-1.0776,-2.02,-0.08,-20.51,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.364399Z,15.0,13.34,20.6094,1.143571738020838
149,1770488026.4311,30.2,23.3915,0.3801,-0.0024,-1.0789,-1.54,0.19,-23.34,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.431099Z,15.0,13.34,23.3915,1.1438998994667322
150,1770488026.4977,30.1,25.7897,0.387,0.0439,-1.0137,4.54,1.37,-25.35,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.497699Z,15.0,13.34,25.7897,1.085948387355495
151,1770488026.5484,30.0,6.33701,0.2454,-0.0723,-1.0876,-0.62,0.98,-6.23,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.548399Z,15.0,13.34,6.33701,1.1172834063029846
152,1770488026.615,30.1,24.1897,0.3506,0.1111,-1.0579,-2.16,-1.44,-24.05,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.615000Z,15.0,13.34,24.1897,1.1200071339058515
153,1770488026.6817,30.1,23.2486,0.3665,0.0813,-1.0557,-2.22,-0.33,-23.14,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.681699Z,15.0,13.34,23.2486,1.120461703941728
154,1770488026.7484,30.1,21.3929,0.323,0.0657,-1.0684,-3.84,-3.63,-20.73,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.748399Z,15.0,13.34,21.3929,1.1180894642201045
155,1770488026.815,30.2,19.3114,0.3462,0.0415,-1.0977,1.62,0.36,-19.24,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.815000Z,15.0,13.34,19.3114,1.1517473594499792
156,1770488026.8817,30.1,17.442,0.2932,0.0151,-1.1052,2.75,-0.69,-17.21,15.0,LOW,col_20260207_191320_5hz,2026-02-07T18:13:46.881700Z,15.0,13.34,17.442,1.1435301876207729
