fan_state,window_start,window_end,timestamp_start,timestamp_end,timestamp_mean,accel_x_g_mean,accel_x_g_std,accel_x_g_skew,accel_x_g_kurtosis,accel_x_g_rms,accel_x_g_peak,accel_x_g_root_amplitude,accel_x_g_crest_factor,accel_x_g_shape_factor,accel_x_g_impulse_factor,accel_x_g_clearance_factor,accel_y_g_mean,accel_y_g_std,accel_y_g_skew,accel_y_g_kurtosis,accel_y_g_rms,accel_y_g_peak,accel_y_g_root_amplitude,accel_y_g_crest_factor,accel_y_g_shape_factor,accel_y_g_impulse_factor,accel_y_g_clearance_factor,accel_z_g_mean,accel_z_g_std,accel_z_g_skew,accel_z_g_kurtosis,accel_z_g_rms,accel_z_g_peak,accel_z_g_root_amplitude,accel_z_g_crest_factor,accel_z_g_shape_factor,accel_z_g_impulse_factor,accel_z_g_clearance_factor,gyro_x_dps_mean,gyro_x_dps_std,gyro_x_dps_skew,gyro_x_dps_kurtosis,gyro_x_dps_rms,gyro_x_dps_peak,gyro_x_dps_root_amplitude,gyro_x_dps_crest_factor,gyro_x_dps_shape_factor,gyro_x_dps_impulse_factor,gyro_x_dps_clearance_factor,gyro_y_dps_mean,gyro_y_dps_std,gyro_y_dps_skew,gyro_y_dps_kurtosis,gyro_y_dps_rms,gyro_y_dps_peak,gyro_y_dps_root_amplitude,gyro_y_dps_crest_factor,gyro_y_dps_shape_factor,gyro_y_dps_impulse_factor,gyro_y_dps_clearance_factor,gyro_z_dps_mean,gyro_z_dps_std,gyro_z_dps_skew,gyro_z_dps_kurtosis,gyro_z_dps_rms,gyro_z_dps_peak,gyro_z_dps_root_amplitude,gyro_z_dps_crest_factor,gyro_z_dps_shape_factor,gyro_z_dps_impulse_factor,gyro_z_dps_clearance_factor,collection_id
LOW,220,320,1770047795.2831,1770047895.1136,1770047844.975138,0.270698235,0.09911132292376121,-0.29737699735743617,-1.2571938451306703,0.2882717273057025,0.43335,0.26021396437767225,1.5032691691629088,1.0649191240781548,1.6008600868786602,1.665360277786782,-0.020895952799999992,0.1295795678135126,-0.023951149399681532,-1.0313355478113042,0.1312535913343194,0.302246,0.10101290536811368,2.302763657187417,1.159126947802306,2.6691954094657264,2.992152328443062,-1.0835692000000001,0.02650519227170405,0.286572774478045,-0.7078348857329786,1.0838933233515187,1.13647,1.0834064818364324,1.0485072428400135,1.0002991256594582,1.0488208782604747,1.048978401969335,-0.6573282479999998,1.3932685226176396,0.11221508037180336,-0.22412564312179528,1.540544579600308,3.55725,1.1195524213274397,2.30908605119556,1.2108436859636542,2.7959422654368913,3.1773858304751927,0.6575571939999999,3.0593107374299318,-0.035324284735584834,-0.8981007547605286,3.1291793894782107,7.17557,2.3405807199718702,2.2931155766037827,1.1782768910741406,2.7019250924743905,3.0657220828881466,0.7652668270000003,13.148310812753117,0.05854144231200543,-1.23440865619147,13.170562271416781,25.3893,10.113902310235167,1.9277309105550302,1.1511580970985795,2.2191230467126406,2.510336685208664,col_20260201_134448_1hz
LOW,240,340,1770047815.1689,1770047917.2499,1770047865.311822,0.26872802,0.10211358650662213,-0.248239326241626,-1.2696344624311589,0.2874751002823823,0.43335,0.2574749926847431,1.5074349033162422,1.069762283376264,1.6125970042126607,1.683076074617473,-0.0210424412,0.1307371810984653,-0.06879603914997462,-1.0335749163166519,0.13241976760751534,0.302246,0.10032204771087651,2.2824839935970886,1.1667090572950958,2.6629947484608048,3.0127574834901596,-1.0830883999999998,0.025992901597166874,0.22799854768906128,-0.5482187065710349,1.083400255283337,1.13672,1.0829319595119378,1.0492151856681244,1.0002879315144888,1.0495172877855585,1.04966890118591,-0.6992365590000001,1.4776143481215998,-0.038032383762411984,-0.2078934414874345,1.634709737909755,4.38168,1.1579999912550778,2.6804024582386705,1.2305882293225614,3.2984717149557663,3.783834225465748,0.633969434,2.907315645671045,-0.0590035256515123,-0.9366394294745466,2.975634639334931,6.76336,2.2693136535431613,2.2729134520062058,1.1666362136972992,2.651663143710178,2.9803548704869955,0.950380827,13.504812732537461,0.03265994084610522,-1.0877720032105382,13.538212240071994,28.0992,10.19388944738447,2.07554731021491,1.1667651798665155,2.421676330724362,2.756474861242452,col_20260201_134448_1hz
LOW,260,360,1770047835.2425,1770047937.3503,1770047885.858667,0.268784173,0.10165974539687167,-0.273750401123217,-1.1625772753083154,0.2873667264828179,0.43335,0.25747099540422635,1.5080033979713745,1.069135594091762,1.6122601087825212,1.6831022046566673,-0.019943821800000004,0.12896900074547935,-0.1739356974444865,-0.895254720642221,0.13050195087153912,0.301025,0.09689724065675016,2.3066704979477044,1.1827325556084813,2.7281742929843764,3.1066416129057193,-1.0845407999999999,0.026017734362545866,0.11336545111533539,-0.390709055052346,1.0848528330451095,1.14111,1.0843844810191314,1.0518569572215435,1.0002877098262322,1.0521595868039268,1.0523112604189582,-0.7140454599999998,1.488722496348906,0.030758327940818002,-0.24332835713833445,1.6511073829651204,4.38168,1.1903400995125675,2.6537825735666054,1.2191132947207353,3.2352616167332564,3.681032002361556,0.7514502190000002,3.0031198433827595,-0.055743639343794324,-1.0983600166126477,3.095707709935555,6.76336,2.4051702836394004,2.184754063923172,1.1514416242670358,2.515616767987704,2.812008798714232,1.0593126970000002,13.372890046016092,-0.04194390196963365,-0.8980460615384258,13.414780340089873,28.0992,9.78321132912814,2.0946448087581393,1.191115862986685,2.494964659034531,2.8721857327499993,col_20260201_134448_1hz
LOW,280,380,1770047855.1846,1770047957.3128,1770047906.4902244,0.26707031600000003,0.0998662100019318,-0.2084111196448667,-1.2049992912661445,0.28513122170062294,0.43335,0.2563090898143978,1.519826546582125,1.0676260318672888,1.6226063850540393,1.6907320778744273,-0.025671366800000005,0.12541269810039957,-0.18985325368994518,-0.893506999388582,0.12801313963106328,0.301025,0.09229649561915268,2.351516421420182,1.2006637266030091,2.8233804697105276,3.2614997783028885,-1.0860811000000001,0.02520780815124552,0.24136878566852352,-0.386110348285881,1.0863735956700162,1.14111,1.0859343629408997,1.0503845127938933,1.000269312917807,1.0506673949118532,1.050809366516108,-0.617098908,1.6071535856767694,0.17868143733628564,-0.20089825653058213,1.7215556076434153,4.38168,1.236374012126232,2.5451864468078074,1.217599612332919,3.099018030948186,3.543976140734861,0.859923449,3.0131242041023754,-0.0884089603333762,-1.012870916278365,3.133430357848668,6.76336,2.398260886467749,2.158452311875713,1.1618766487369354,2.5078553385806437,2.8201102049249265,1.409846797,13.385720588964675,-0.10601287219529844,-0.9314097380211424,13.45976165007553,28.0992,10.104330851177,2.0876446946474956,1.1755409035112834,2.454111730556454,2.7809065651019207,col_20260201_134448_1hz
LOW,300,400,1770047876.1127,1770047977.3569,1770047927.022597,0.26945313600000004,0.09780277540640299,-0.3051848734602306,-1.0599875801138756,0.28665375521250336,0.43335,0.2590098849544938,1.5117541358519695,1.063835290499285,1.6082574002775754,1.673102167803891,-0.029277333399999998,0.12466782863395447,-0.21750110792396532,-0.9727098270829817,0.12805947738187828,0.301025,0.0935719000257114,2.3506655356895756,1.1961951373465844,2.811854683320074,3.2170448598060446,-1.0856444000000003,0.025280892560192565,0.16709710567758823,-0.4456637201212241,1.0859387122577406,1.14111,1.0854968786006949,1.0508051578965765,1.0002710945294244,1.0510900254263733,1.0512328708590997,-0.583434879,1.5703433553706814,0.17638109277007408,-0.08008085211576432,1.6752237199223852,4.38168,1.1953242853180386,2.6155790106667114,1.2247017651789842,3.203304231328623,3.665683073471708,0.879236787,3.117423695258525,-0.1737845699493732,-0.8936865691615212,3.239041188897326,6.94656,2.4466596362937674,2.144634660346765,1.1717508154399554,2.512977412082114,2.8392016187926905,1.026260457,13.267816980542676,-0.15298742320405762,-0.9148659657323797,13.307448213492265,28.0992,10.01106925866835,2.1115393086039256,1.1745560757429443,2.480121324090797,2.806813066013859,col_20260201_134448_1hz
LOW,320,420,1770047896.1327,1770047997.3,1770047947.461282,0.26692628799999996,0.09317959388690453,-0.24023437878889584,-1.037048252507983,0.28272262014629707,0.415283,0.25759302919353727,1.4688707956410014,1.0591786304176123,1.5557965575874644,1.6121670733876328,-0.03739746339999999,0.1257513842433969,-0.25449439723376266,-0.9673261100383632,0.13119443931769667,0.301025,0.09347175417237662,2.2944951140120087,1.215389696101369,2.7887057193251312,3.220491609100034,-1.0874095,0.024389382664389034,0.1498909294697655,-0.4912277648106871,1.0876829789405549,1.14111,1.0872724636060194,1.0491200304628148,1.0002514958169437,1.0493838797619481,1.0495161407982545,-0.7029768430000002,1.589761150290392,0.12356083376579176,-0.3817120470058075,1.7382511201684518,4.38168,1.2094727530995473,2.520740501277731,1.2316020481346783,3.104549164189689,3.6228017446205008,0.67717578,3.1287017947289266,-0.09529453736776436,-0.9984600774160706,3.201146975282237,6.94656,2.4589888353481837,2.1700221994297966,1.161474237852717,2.5204248802061997,2.8249660592771226,1.2596197700000002,13.329606359047904,-0.13770027394541445,-0.8975148873244132,13.388989792069646,28.0992,9.90942435933566,2.098679619327462,1.1845383064033133,2.485966401961302,2.835603661834077,col_20260201_134448_1hz
LOW,340,440,1770047917.5072,1770048017.4014,1770047967.7595649,0.268464363,0.0913072271695901,-0.24266955935286838,-1.1143125436621308,0.2835667891950588,0.415283,0.259696662030852,1.4644980153664497,1.0562548638720395,1.5468831518617614,1.5991079621603466,-0.036508798300000006,0.12957262999658048,-0.2218047234450593,-1.0125809648841846,0.13461782496215285,0.307373,0.10029997767234151,2.283300893372898,1.1890165434147568,2.7148825358140694,3.0645370730203108,-1.0870335999999998,0.02470285807432007,0.29639129325084396,-0.531792801461894,1.0873142502174797,1.14111,1.0868927322628903,1.0494758068072412,1.000258179892029,1.0497467603577297,1.0498828137568188,-0.6725190719999999,1.5496883052313841,0.06060447648176337,-0.009003152063458586,1.6893240499012203,5.21374,1.1628409979198375,3.086287678379327,1.2413138493484601,3.8310516382457647,4.483622446513894,0.5902292900000002,3.1500372078684147,-0.08181266801933684,-1.0299294139034976,3.2048564750592723,6.94656,2.4822036952959645,2.167510481064999,1.156956057869668,2.5077143815641487,2.798545507431343,1.1945799799999999,13.0484279153638,-0.07904724983720057,-0.9187596726878908,13.102995550295438,25.6641,9.56101611549804,1.9586437239857983,1.192016733476676,2.3347360939101436,2.6842439851554567,col_20260201_134448_1hz
LOW,360,460,1770047938.4254,1770048037.3231,1770047987.843679,0.265195326,0.09275037573994686,-0.1837972506962608,-1.2557181907005543,0.2809469578624186,0.408691,0.25619421137258247,1.4546909605625218,1.0593963404257682,1.541094280070381,1.595239009540469,-0.03247317200000001,0.13144715487669414,-0.082569696700604,-1.1336991392865037,0.13539889742874275,0.307373,0.10349579715283613,2.270129268680073,1.167983935214067,2.6514745166775837,2.9699080393196136,-1.084795,0.02362553730605931,0.42746400994639405,-0.7209697640217736,1.085052237469699,1.12524,1.084665726954108,1.037037629288722,1.0002371300288986,1.0372835420517241,1.0374071679759167,-0.536717767,1.5569371756913821,0.007849281352278067,0.18365334085123974,1.646851338300857,5.21374,1.0813227407318013,3.16588381643439,1.274667702156266,4.035449849588134,4.821631695705875,0.352061475,3.193094303263705,-0.020052342143665896,-1.025755821319578,3.2124443204068616,6.94656,2.4519524984059022,2.162390786315701,1.1659284767250488,2.5211929955733456,2.833072828497369,1.00144874,13.348995652159806,-0.05070900463551567,-1.1057720802879252,13.38650755425884,25.6641,10.102636279149927,1.9171617313908822,1.1680367488383459,2.2393153557311,2.54033692700253,col_20260201_134448_1hz
MEDIUM,0,100,1770048084.3209,1770048183.3052,1770048133.8286822,0.26196533999999994,0.06555415653690008,-0.4011269434158358,-0.9491945384323772,0.2700429351058457,0.380371,0.25746623758970016,1.4085574942033208,1.0308345947820645,1.4519897937643205,1.477362638149712,-0.04918700102000001,0.1411637009447807,0.04088911197862889,-1.0595581900319313,0.14948763003596305,0.299561,0.1135570437653565,2.003918317040233,1.1702336647790075,2.3450526760677723,2.63797814796046,-1.0883867999999999,0.018284653996179418,0.6444876098771567,0.6393213117134322,1.088540378206523,1.12573,1.0883095659027955,1.0341646690724973,1.0001411062744634,1.0343105961961319,1.0343839981468532,-0.9309922159999999,1.8719915307963293,0.24920123820141854,-0.5519191719262073,2.090717292611743,4.71756,1.4947049316080046,2.2564313294155522,1.2031450690948138,2.7148142277373775,3.1561814644746273,0.6660305029999999,1.8481715477203187,-0.10628464446514987,-1.035252722943825,1.9645189489361894,4.05344,1.4709960197452259,2.063324460267989,1.1731413946753269,2.420571334986505,2.7555750971386375,1.5406099200000003,15.09478078460418,0.0003665208936667787,-1.022306598230032,15.173196296787902,28.9618,11.17953399110383,1.908747467145804,1.1861418041415663,2.264045164330969,2.590608877172027,col_20260201_134448_1hz
MEDIUM,20,120,1770048104.3017,1770048203.2986,1770048153.830948,0.26329347999999997,0.06603522327386802,-0.44363831259724634,-0.837146699547549,0.271448166918364,0.380371,0.2587131957007148,1.4012656792572622,1.0309718528478715,1.444665473675991,1.4702419757514869,-0.03653320222,0.13730418541422376,-0.05832483172074661,-0.9970116502787834,0.1420813647059703,0.300781,0.10525849765162089,2.116963055798697,1.1852655551730868,2.509163391612157,2.8575460101616628,-1.0882010999999998,0.018462292647176845,0.5745014413095265,0.6375315316154491,1.088357703280957,1.12646,1.0881223863687193,1.0350089833555458,1.0001439102395295,1.0351579317462556,1.0352328139844829,-0.813892877,1.8639677308950318,0.21863542372007896,-0.4908109451881084,2.0339118262720515,4.71756,1.4157987168316453,2.319451580478194,1.2216526444256903,2.833564156908533,3.3320838223086,0.603358748,1.819705606177567,-0.06970752605091728,-1.0170227050211296,1.9171255232618947,4.05344,1.4351965894383811,2.114332082493624,1.1745555150846176,2.483400408213231,2.824309944595246,1.51419792,14.537170621406963,0.027447966495438642,-0.9385733498447828,14.615817630800887,28.9618,10.746953537355134,1.9815381343406249,1.1903317590967544,2.3586877731669764,2.694884638640357,col_20260201_134448_1hz
